Soil Type,Soil Moisture (%),Temperature (°C),Rainfall (mm),Humidity (%),Seed Type,Depth (inches)
clay,41.34,6.69,16.4,96.2,sunflower,2.92
loamy,81.38,23.73,29.74,56.17,soybean,1.44
sandy,60.92,33.98,12.33,92.35,peanuts,4.22
loamy,96.8,31.36,13.23,40.45,peanuts,4.79
loamy,43.38,18.25,9.94,38.01,sunflower,2.07
clay,51.59,19.46,26.42,70.56,peanuts,3.66
loamy,34.56,1.88,22.45,25.28,carrot,1.35
sandy,10.18,-18.46,4.23,23.51,maize,4.53
loamy,84.01,41.69,14.76,82.29,soybean,1.4
clay,49.1,-0.22,25.84,52.36,peanuts,3.39
sandy,19.96,-22.17,2.26,2.24,maize,3.92
clay,7.67,12.57,27.41,85.42,wheat,1.2
loamy,20.29,4.11,24.05,61.87,peanuts,3.19
sandy,41.18,-2.09,22.81,56.49,cotton,1.15
loamy,67.18,36.43,20.47,65.07,cotton,1.47
loamy,6.91,8.5,7.46,32.92,barley,2.72
sandy,36.57,41.61,23.43,42.61,wheat,1.47
clay,69.99,27.85,20.66,93.09,carrot,1.36
sandy,95.93,33.15,21.73,54.96,maize,4.31
loamy,41.39,19.81,8.03,40.86,rice,2.31
sandy,4.24,8.25,2.55,30.59,peanuts,4.97
sandy,38.15,8.11,26.32,47.93,wheat,1.1
sandy,14.9,6.04,3.53,26.19,beans,3.27
clay,2.53,18.58,29.46,1.79,maize,3.91
clay,87.78,33.89,18.44,66.73,wheat,1.18
loamy,35.34,16.06,7.32,40.37,barley,2.98
clay,65.35,35.64,23.73,67.43,peanuts,4.2
clay,45.75,16.35,7.97,67.89,corn,2.63
loamy,13.46,14.92,10.9,40.08,barley,2.54
loamy,33.9,24.41,7.86,48.6,corn,1.59
clay,93.52,44.02,0.56,20.87,sunflower,2.73
clay,77.26,44.24,3.94,33.0,beans,3.27
sandy,86.83,-5.31,21.25,86.95,soybean,1.49
loamy,25.88,-1.88,28.82,39.7,rice,2.79
clay,60.99,16.56,11.8,62.17,cotton,1.21
clay,68.3,37.78,17.18,64.26,soybean,1.16
sandy,88.88,35.77,22.8,12.86,maize,3.27
loamy,98.92,-7.26,27.71,14.14,corn,1.76
sandy,13.15,-15.39,4.77,31.71,peanuts,4.27
clay,34.18,39.14,13.02,21.84,cotton,1.05
loamy,87.68,-9.36,1.88,94.32,cotton,1.43
loamy,31.82,19.57,6.07,58.67,rice,2.18
clay,72.29,0.54,8.61,21.92,wheat,1.14
loamy,37.95,37.65,14.45,86.9,wheat,1.0
loamy,33.99,22.26,9.62,50.8,sunflower,2.83
sandy,94.24,20.3,10.63,5.13,wheat,1.01
sandy,94.51,-2.97,23.5,78.97,soybean,1.49
sandy,27.36,12.11,4.76,14.87,peanuts,3.46
loamy,32.73,24.0,5.22,41.69,barley,2.16
loamy,61.91,26.11,4.35,15.52,carrot,1.06
clay,70.83,31.98,20.65,97.85,cotton,1.29
loamy,43.01,-2.1,24.84,23.93,barley,1.65
clay,82.36,40.04,20.12,76.26,wheat,1.28
clay,91.83,34.34,22.48,77.26,carrot,1.39
loamy,91.44,29.73,16.42,69.65,soybean,1.5
loamy,33.64,15.74,8.38,33.4,corn,1.97
sandy,16.11,-5.67,2.08,29.67,beans,4.84
loamy,35.12,16.56,5.28,38.19,rice,2.68
loamy,61.83,-4.74,4.73,93.03,cotton,1.06
loamy,69.74,15.33,16.01,4.18,rice,2.05
clay,29.14,-4.3,16.94,33.0,maize,4.92
sandy,21.54,40.51,24.57,3.31,sunflower,2.46
clay,57.65,22.49,25.23,97.87,wheat,1.25
sandy,21.51,17.37,13.46,82.05,barley,2.74
sandy,34.43,-0.33,14.24,13.44,beans,4.86
clay,89.85,12.71,7.02,92.94,maize,4.62
sandy,45.09,-13.93,5.45,78.7,corn,2.35
loamy,84.79,26.47,29.72,96.35,wheat,1.01
clay,80.36,26.42,25.95,73.9,soybean,1.21
loamy,13.85,-0.36,10.52,31.07,sunflower,2.69
loamy,42.4,23.86,7.22,52.73,sunflower,1.92
loamy,80.8,39.99,13.72,77.66,soybean,1.41
sandy,84.48,26.84,2.07,57.89,rice,2.58
sandy,5.62,-12.08,0.44,17.83,maize,4.21
clay,67.42,18.46,22.94,93.2,sunflower,2.2
loamy,43.61,21.26,27.56,73.57,wheat,1.42
loamy,80.86,32.91,28.71,63.98,soybean,1.23
clay,96.55,12.35,25.44,45.55,rice,2.17
loamy,9.66,13.27,13.55,14.6,maize,3.52
clay,62.13,37.52,22.11,97.29,carrot,1.39
loamy,30.5,15.02,9.16,37.64,sunflower,2.87
sandy,29.2,18.29,18.34,17.4,beans,3.03
loamy,43.94,24.64,6.87,59.06,corn,2.44
sandy,5.06,44.59,25.25,3.51,wheat,1.01
clay,50.79,30.78,14.19,75.36,wheat,1.37
loamy,35.62,10.43,25.51,10.79,rice,2.81
loamy,43.06,17.15,7.74,32.11,sunflower,2.22
loamy,62.66,29.4,24.81,78.07,soybean,1.17
loamy,21.78,3.38,2.21,79.42,cotton,1.45
clay,78.17,15.25,5.99,43.59,cotton,1.4
loamy,40.13,21.96,9.56,68.24,sunflower,2.88
clay,20.08,30.04,15.18,44.48,corn,2.29
clay,12.45,11.09,1.03,2.0,cotton,1.35
sandy,13.6,10.41,0.07,12.77,peanuts,3.23
sandy,17.88,23.56,10.25,55.09,corn,1.73
sandy,27.96,23.24,14.18,19.13,beans,3.53
loamy,41.17,17.71,6.25,40.72,corn,1.67
clay,32.5,36.55,27.09,18.97,peanuts,4.23
sandy,4.28,6.1,1.63,11.65,peanuts,4.22
clay,69.11,27.82,20.36,92.39,soybean,1.33
sandy,24.0,2.25,3.3,2.29,maize,4.52
loamy,49.75,19.81,8.64,31.23,rice,2.11
sandy,5.81,-5.52,3.58,21.71,peanuts,3.95
loamy,11.86,-6.09,6.59,9.38,barley,2.61
clay,72.68,40.48,21.47,95.19,carrot,1.41
loamy,30.26,19.23,8.63,30.05,corn,2.31
clay,72.44,6.95,18.29,23.37,cotton,1.02
sandy,13.95,33.5,4.78,41.27,sunflower,1.84
sandy,29.77,-8.08,4.17,12.37,maize,3.88
sandy,46.58,6.98,14.35,89.34,corn,2.61
clay,57.5,31.8,27.09,66.56,soybean,1.39
loamy,31.97,24.84,6.21,49.18,sunflower,2.26
clay,82.01,41.02,19.81,61.14,wheat,1.3
clay,94.67,37.86,0.19,15.13,peanuts,3.47
loamy,65.28,35.69,16.59,77.51,cotton,1.16
loamy,58.46,37.32,17.98,90.44,carrot,1.01
loamy,27.38,-1.17,24.04,84.64,corn,2.7
clay,12.18,8.28,14.48,39.98,cotton,1.25
loamy,70.35,25.33,9.64,37.35,carrot,1.29
loamy,53.66,8.96,22.87,90.25,corn,1.74
clay,20.58,3.06,2.04,56.17,cotton,1.29
loamy,34.86,21.43,8.01,45.19,barley,2.02
clay,73.03,22.26,28.87,95.65,wheat,1.17
loamy,72.58,29.53,24.02,82.62,wheat,1.14
sandy,22.87,39.73,13.98,51.19,peanuts,4.82
sandy,0.4,-1.81,4.94,12.92,peanuts,3.85
clay,84.05,16.56,1.48,30.88,wheat,1.1
loamy,60.99,-9.37,10.99,63.49,wheat,1.35
clay,81.95,-9.62,4.66,70.17,wheat,1.11
loamy,97.53,39.83,22.6,91.57,carrot,1.06
loamy,39.05,21.48,9.83,51.95,rice,2.19
sandy,5.27,-6.78,0.84,23.42,beans,3.34
sandy,16.67,-14.42,0.51,31.0,beans,4.61
loamy,72.0,29.99,22.47,69.83,carrot,1.24
clay,17.1,-12.27,9.32,60.24,peanuts,3.39
loamy,42.97,21.68,9.43,57.58,rice,2.03
loamy,19.77,34.72,6.41,0.37,rice,2.07
loamy,49.86,20.13,9.09,54.0,rice,2.3
sandy,94.07,35.93,29.22,13.4,sunflower,2.71
loamy,53.42,29.86,16.3,70.53,cotton,1.2
loamy,57.34,26.46,13.67,65.58,maize,4.54
loamy,39.99,-3.51,11.74,82.97,sunflower,1.93
loamy,50.52,39.5,26.18,78.45,soybean,1.36
sandy,1.55,16.7,20.48,79.23,beans,4.15
loamy,33.6,17.65,8.17,47.48,rice,2.05
sandy,15.18,-9.17,2.32,9.2,beans,4.22
sandy,67.13,44.78,17.56,92.16,beans,3.21
loamy,54.0,-2.06,28.19,8.78,wheat,1.28
sandy,26.11,-12.99,0.76,4.2,peanuts,4.27
loamy,39.51,17.95,9.47,47.03,rice,2.44
loamy,99.65,41.65,23.12,73.87,wheat,1.4
clay,81.52,-3.2,12.72,14.55,maize,3.93
loamy,31.45,24.53,9.57,54.72,corn,2.85
loamy,37.17,21.25,7.84,47.76,barley,2.44
sandy,9.36,-7.94,0.53,18.0,peanuts,3.2
sandy,80.62,30.48,20.34,54.99,sunflower,2.59
sandy,53.78,5.95,21.28,28.96,corn,1.77
loamy,44.71,22.23,9.19,52.65,sunflower,2.48
loamy,90.83,27.6,16.26,94.37,wheat,1.5
sandy,31.48,39.7,21.27,72.17,corn,2.53
clay,65.49,-12.2,21.36,14.51,soybean,1.12
clay,81.58,30.15,24.54,78.79,soybean,1.03
sandy,72.64,34.04,7.02,8.25,soybean,1.38
sandy,32.61,42.84,25.87,88.34,peanuts,3.54
loamy,34.45,20.53,8.67,33.01,corn,2.72
clay,14.88,8.7,21.31,31.73,cotton,1.21
sandy,24.11,-21.57,4.16,21.65,maize,3.81
loamy,70.51,29.2,16.31,37.19,barley,2.66
loamy,44.94,23.56,7.61,36.87,sunflower,2.43
loamy,44.06,16.51,9.09,50.13,corn,2.49
sandy,0.05,-11.71,4.55,8.7,maize,4.97
sandy,24.75,29.36,24.01,32.52,carrot,1.07
loamy,47.36,15.19,7.24,48.41,rice,2.59
loamy,41.03,37.15,0.0,1.32,barley,2.11
loamy,37.92,9.37,29.21,61.8,soybean,1.35
loamy,80.14,36.4,17.6,45.33,rice,2.45
loamy,66.01,42.39,14.59,93.26,wheat,1.04
loamy,46.12,3.57,23.31,97.32,maize,3.27
sandy,16.95,11.07,4.92,31.18,beans,3.97
loamy,54.04,33.55,22.8,88.17,wheat,1.0
sandy,88.36,17.93,27.96,3.65,beans,4.6
loamy,86.3,27.97,18.98,99.84,soybean,1.39
sandy,22.46,-20.31,0.84,12.41,peanuts,3.5
loamy,83.43,35.47,3.06,99.99,maize,3.04
loamy,36.91,15.21,5.98,36.67,sunflower,1.78
sandy,63.03,29.76,20.12,1.41,barley,2.3
loamy,4.29,-7.35,6.85,8.32,rice,1.93
clay,5.49,6.16,21.77,90.69,wheat,1.4
clay,49.12,22.14,2.87,79.81,soybean,1.33
clay,11.9,40.41,6.57,58.0,carrot,1.16
loamy,34.38,24.37,5.88,46.93,rice,2.5
clay,24.21,27.44,16.59,10.53,barley,1.5
clay,81.66,-10.85,15.39,48.32,carrot,1.13
loamy,77.66,41.72,10.05,6.66,soybean,1.19
sandy,43.3,-3.19,25.74,6.54,cotton,1.34
sandy,8.19,-11.62,2.47,19.11,beans,4.06
clay,6.0,19.45,26.73,15.46,cotton,1.48
loamy,51.71,8.8,24.8,45.02,peanuts,3.84
sandy,10.59,-3.97,2.88,5.8,maize,3.04
sandy,6.62,-18.16,4.9,28.29,peanuts,3.22
sandy,14.4,-11.55,2.71,35.65,maize,4.82
sandy,24.14,-12.19,3.8,29.99,beans,4.05
sandy,96.34,10.1,18.76,47.05,cotton,1.47
clay,82.38,25.33,25.13,44.72,rice,1.52
sandy,53.88,25.95,9.78,17.63,beans,3.07
loamy,30.76,23.32,6.85,57.11,corn,1.88
sandy,18.31,-19.57,2.26,18.12,peanuts,3.16
loamy,74.9,29.69,23.84,94.76,carrot,1.12
loamy,70.48,3.93,11.34,42.25,beans,3.07
sandy,2.38,42.9,17.78,69.26,wheat,1.21
loamy,88.4,43.92,24.21,88.52,cotton,1.18
clay,68.74,31.02,14.4,89.07,carrot,1.19
sandy,15.92,-21.09,4.27,4.96,peanuts,4.0
clay,56.02,35.6,10.14,62.71,carrot,1.39
loamy,74.26,-6.77,25.45,4.79,peanuts,4.52
sandy,25.52,-24.76,4.27,32.04,peanuts,4.39
loamy,47.93,20.48,5.78,70.25,maize,3.32
loamy,40.21,-8.35,17.23,94.46,rice,2.6
loamy,61.82,27.08,22.24,95.52,carrot,1.19
loamy,80.22,44.04,21.23,98.78,carrot,1.38
loamy,40.11,18.75,8.14,45.54,barley,2.36
loamy,52.45,31.29,14.43,89.89,soybean,1.04
loamy,52.44,36.11,25.89,83.42,cotton,1.32
loamy,38.18,24.18,9.43,38.14,sunflower,2.35
sandy,69.38,18.02,29.68,25.14,maize,3.14
sandy,41.77,44.39,17.15,46.22,cotton,1.46
sandy,80.92,-11.76,9.08,8.52,barley,1.78
clay,63.48,30.71,14.64,74.13,wheat,1.32
loamy,35.54,25.28,25.62,80.36,cotton,1.33
sandy,86.49,43.04,27.19,85.71,beans,4.55
loamy,73.28,36.87,15.55,88.22,wheat,1.29
sandy,45.11,-11.48,13.04,19.71,beans,3.15
sandy,14.44,8.08,3.07,32.93,maize,4.02
clay,99.68,29.56,11.53,64.59,soybean,1.44
clay,65.82,-2.78,8.56,96.18,soybean,1.2
loamy,55.88,43.47,28.99,76.5,maize,3.09
loamy,36.22,18.75,7.08,39.88,corn,2.08
loamy,35.56,14.84,29.88,62.09,maize,4.81
clay,51.45,-5.62,26.11,60.15,carrot,1.13
loamy,58.45,40.11,28.2,90.32,carrot,1.44
clay,68.94,3.44,9.4,60.41,carrot,1.04
loamy,46.41,19.83,9.8,48.64,sunflower,2.6
sandy,52.13,29.38,20.1,3.28,carrot,1.28
sandy,1.09,-17.08,4.86,4.51,beans,4.08
loamy,68.21,-2.73,8.34,45.51,corn,1.89
clay,66.42,-6.83,27.43,31.24,rice,2.46
loamy,72.36,41.4,20.14,69.38,cotton,1.16
sandy,60.8,-13.43,3.05,79.99,rice,2.72
clay,63.7,32.21,14.61,94.93,cotton,1.03
clay,73.42,35.23,25.82,81.09,carrot,1.34
sandy,91.81,15.43,22.61,18.66,beans,3.93
loamy,42.04,15.31,5.02,46.9,sunflower,2.51
loamy,20.63,38.46,29.83,68.82,sunflower,2.17
loamy,33.86,16.82,5.38,56.22,rice,2.03
loamy,87.51,37.46,12.34,68.01,carrot,1.47
sandy,62.02,4.5,3.81,32.69,corn,2.55
loamy,31.28,16.92,15.22,43.18,cotton,1.18
sandy,0.43,-4.08,1.14,8.88,peanuts,4.96
clay,22.82,9.93,0.09,50.8,wheat,1.04
loamy,64.95,5.38,3.07,52.29,maize,3.14
sandy,73.36,31.46,17.04,54.59,cotton,1.0
sandy,2.29,-0.24,0.79,27.78,peanuts,3.96
loamy,75.0,-10.66,23.23,9.83,wheat,1.11
loamy,26.12,-8.74,27.83,87.61,soybean,1.21
loamy,31.83,22.35,7.49,56.17,barley,1.75
loamy,45.94,23.07,6.03,59.58,corn,1.89
loamy,44.63,24.64,8.53,59.82,corn,1.73
sandy,92.11,5.97,20.28,98.63,barley,2.24
loamy,40.09,38.8,21.0,21.78,soybean,1.07
clay,95.95,40.12,17.6,64.74,soybean,1.44
sandy,76.34,-6.91,13.11,56.94,wheat,1.12
clay,35.58,37.26,19.78,88.53,soybean,1.24
sandy,89.32,44.76,26.45,71.48,soybean,1.19
sandy,1.53,-9.71,4.53,2.57,maize,3.28
loamy,77.4,42.84,22.56,81.33,soybean,1.33
clay,33.33,36.76,0.71,42.32,rice,2.6
clay,12.76,7.02,28.65,86.0,soybean,1.21
loamy,19.86,41.6,28.76,13.18,soybean,1.18
loamy,42.42,19.73,9.03,30.74,corn,2.82
loamy,33.34,15.41,5.01,33.9,corn,2.56
sandy,24.28,4.33,3.23,33.03,peanuts,3.9
loamy,30.47,16.01,8.16,57.98,sunflower,1.97
clay,90.79,31.27,17.8,62.83,soybean,1.47
sandy,86.83,31.31,9.0,26.7,peanuts,4.63
sandy,29.81,-19.9,0.38,5.05,beans,4.16
clay,89.82,44.64,23.53,91.13,soybean,1.03
sandy,58.13,-0.78,26.4,51.12,barley,1.99
loamy,37.82,23.33,9.18,59.64,rice,2.77
loamy,48.11,24.38,6.12,49.88,rice,1.6
loamy,61.8,31.51,19.36,62.74,carrot,1.28
clay,33.91,3.54,7.75,9.56,beans,4.62
sandy,25.45,-17.61,3.48,23.63,maize,4.3
sandy,22.93,9.46,4.4,7.46,beans,3.21
loamy,36.6,22.16,6.0,34.91,sunflower,1.6
sandy,75.72,3.89,24.27,95.46,maize,3.98
clay,70.91,40.52,28.86,65.43,carrot,1.23
loamy,33.39,-7.74,2.27,76.89,sunflower,1.64
loamy,79.27,35.93,17.32,30.27,maize,4.27
loamy,90.98,36.27,27.11,67.89,soybean,1.13
sandy,91.72,11.14,19.13,19.54,cotton,1.32
loamy,36.39,21.23,8.92,31.76,corn,2.59
clay,70.53,4.07,4.7,7.0,barley,1.6
loamy,45.69,17.38,6.07,58.69,rice,1.62
loamy,37.4,20.96,5.07,53.54,corn,2.68
clay,95.97,-14.58,22.14,61.0,cotton,1.42
loamy,45.68,23.88,6.61,36.29,sunflower,2.8
loamy,65.0,20.8,2.82,93.61,corn,2.96
loamy,52.45,15.88,27.61,68.74,corn,2.86
clay,48.63,16.58,14.24,15.33,sunflower,2.08
clay,99.28,33.3,10.45,64.07,carrot,1.19
sandy,76.06,40.66,25.97,66.66,sunflower,2.74
loamy,75.24,41.98,22.43,82.49,cotton,1.24
sandy,36.85,2.5,20.14,35.76,sunflower,1.52
clay,50.41,26.75,15.81,63.94,rice,1.72
clay,46.61,12.83,26.43,75.98,cotton,1.29
loamy,42.61,17.6,6.75,42.7,barley,2.44
loamy,35.28,18.91,7.58,57.06,rice,2.45
sandy,28.98,4.87,1.11,88.01,maize,4.68
loamy,84.89,37.25,0.12,34.95,cotton,1.33
clay,80.72,40.48,17.68,62.28,wheat,1.49
sandy,61.62,34.52,17.96,80.02,soybean,1.08
clay,74.71,26.08,23.53,17.28,sunflower,2.98
loamy,30.18,24.51,9.33,57.74,corn,2.37
loamy,75.85,30.72,19.29,76.35,cotton,1.32
clay,99.66,-8.72,15.16,80.66,beans,4.98
sandy,8.51,-8.91,4.71,18.02,beans,4.19
sandy,6.55,-8.54,1.49,30.57,beans,3.28
clay,78.55,2.27,4.01,56.74,sunflower,1.97
loamy,71.05,30.99,12.72,63.45,carrot,1.23
loamy,37.54,24.11,5.23,42.06,barley,2.35
clay,93.05,27.82,21.32,65.01,carrot,1.26
sandy,8.5,-21.36,1.0,38.54,peanuts,4.25
sandy,28.13,34.92,25.06,37.83,peanuts,4.11
clay,26.41,-14.16,28.93,11.75,beans,4.07
sandy,12.19,-18.14,1.69,6.63,peanuts,4.69
loamy,44.97,17.65,8.78,36.76,corn,2.72
clay,67.96,28.21,19.64,20.83,cotton,1.26
loamy,72.31,-4.51,1.74,46.2,maize,4.47
loamy,29.65,0.76,17.8,90.27,corn,1.84
clay,62.54,42.77,22.7,68.33,wheat,1.48
loamy,86.9,40.27,27.07,81.76,carrot,1.29
clay,54.73,27.0,15.31,63.55,wheat,1.13
loamy,35.57,16.42,7.54,32.0,rice,1.81
loamy,86.63,34.77,28.69,98.31,wheat,1.17
loamy,20.88,24.58,13.41,31.54,rice,2.46
loamy,18.8,0.65,19.39,84.45,carrot,1.41
clay,43.41,13.62,12.93,69.25,corn,1.67
sandy,3.84,7.94,15.98,40.24,maize,4.1
sandy,0.14,-14.71,23.1,84.72,sunflower,2.8
clay,37.41,30.4,1.45,20.03,corn,2.4
loamy,38.1,22.72,5.13,36.73,rice,2.63
sandy,8.57,1.55,1.2,15.13,beans,4.93
clay,62.05,33.01,19.85,91.35,wheat,1.24
clay,45.6,0.45,6.92,56.78,beans,4.03
sandy,23.43,-10.33,3.37,8.72,peanuts,4.46
loamy,32.2,23.18,6.7,57.76,barley,2.38
sandy,0.53,12.67,1.77,17.68,peanuts,3.76
sandy,71.59,35.44,11.58,59.65,beans,3.25
sandy,74.68,25.96,8.22,82.09,wheat,1.19
clay,25.71,-13.5,5.7,32.91,cotton,1.34
clay,90.99,-2.94,17.8,32.45,cotton,1.42
loamy,48.27,15.15,6.37,51.25,barley,1.59
loamy,40.84,23.75,9.07,48.15,sunflower,1.77
sandy,16.54,27.62,4.35,18.59,corn,2.22
loamy,35.98,23.31,8.22,31.43,corn,2.36
loamy,77.43,35.59,27.73,99.79,soybean,1.36
clay,42.32,-7.48,20.56,30.29,cotton,1.07
loamy,33.45,22.03,7.92,33.95,sunflower,2.68
sandy,98.05,20.36,14.47,39.0,sunflower,2.53
sandy,9.3,-16.32,3.45,36.55,peanuts,3.95
clay,10.95,42.25,2.68,17.13,soybean,1.36
sandy,15.3,9.82,3.94,88.55,peanuts,4.69
clay,65.83,-9.0,27.06,2.54,maize,4.22
loamy,39.1,22.37,7.61,43.75,corn,1.58
sandy,99.58,12.85,10.56,70.49,sunflower,2.92
clay,76.88,7.15,13.52,56.71,barley,2.64
clay,52.3,36.61,29.39,20.02,wheat,1.13
clay,53.43,29.91,15.64,8.12,carrot,1.33
sandy,7.18,-22.98,2.69,12.95,beans,3.15
clay,72.89,39.05,14.79,5.9,corn,2.6
loamy,34.36,18.71,5.17,56.07,rice,1.98
sandy,25.95,-6.77,1.0,7.2,beans,4.79
loamy,59.68,44.46,20.12,76.91,soybean,1.21
sandy,20.08,5.01,0.02,14.17,beans,4.93
loamy,70.76,33.78,19.97,62.74,soybean,1.29
loamy,63.16,42.55,15.91,10.85,corn,2.29
loamy,45.36,19.45,5.05,50.77,barley,2.03
clay,2.15,36.0,21.23,57.5,cotton,1.3
loamy,68.81,24.1,23.26,24.18,carrot,1.44
loamy,38.7,24.11,5.91,35.43,corn,1.91
loamy,37.4,22.5,7.63,48.15,rice,2.3
clay,57.72,27.97,11.36,27.8,wheat,1.17
clay,68.88,-1.3,21.57,25.25,maize,3.82
sandy,14.53,11.73,3.12,23.16,maize,4.01
loamy,83.96,33.18,23.72,77.58,cotton,1.23
loamy,86.97,21.31,22.78,34.07,rice,2.29
clay,46.7,17.59,13.27,74.94,corn,2.48
loamy,90.17,37.44,11.24,84.91,cotton,1.33
clay,66.03,19.87,0.14,26.26,beans,4.33
loamy,40.15,19.94,7.11,50.61,rice,1.55
loamy,75.24,40.56,16.43,96.95,soybean,1.27
loamy,54.52,25.73,21.03,85.97,wheat,1.07
loamy,50.71,43.95,12.18,99.95,cotton,1.06
clay,82.03,44.88,11.0,79.05,cotton,1.16
sandy,14.5,37.91,20.63,77.72,rice,2.27
loamy,93.6,40.57,15.35,61.64,corn,2.07
loamy,44.36,18.55,6.86,47.74,barley,2.92
sandy,0.58,-0.66,3.48,23.42,peanuts,4.64
loamy,80.8,31.06,25.65,92.13,carrot,1.35
loamy,48.35,17.24,5.41,49.6,rice,2.23
loamy,30.29,15.52,8.07,50.16,rice,2.0
loamy,74.62,43.39,22.44,71.32,soybean,1.48
sandy,35.87,14.05,11.66,24.4,soybean,1.23
sandy,21.04,2.53,0.58,13.49,maize,4.08
loamy,44.95,17.06,6.23,47.46,rice,2.63
loamy,35.53,15.15,9.96,45.57,corn,1.85
loamy,40.99,24.29,5.47,30.98,rice,2.15
clay,93.94,6.73,10.21,78.7,rice,2.67
sandy,36.29,5.7,29.66,59.17,barley,1.9
clay,31.96,3.86,25.99,25.97,peanuts,4.3
loamy,70.64,40.7,3.76,90.11,corn,2.27
loamy,38.36,22.12,5.61,46.07,sunflower,2.32
loamy,40.44,-14.87,17.22,43.71,beans,3.68
clay,72.53,-5.22,3.45,16.83,carrot,1.49
clay,59.81,40.48,23.43,61.34,carrot,1.02
loamy,62.88,-1.78,18.14,6.16,rice,2.31
loamy,82.61,39.99,15.52,75.51,cotton,1.41
sandy,19.78,0.49,2.63,1.25,beans,5.0
loamy,38.16,19.27,7.56,35.94,corn,2.05
loamy,88.84,36.03,22.43,68.6,soybean,1.18
loamy,34.57,22.22,5.01,49.31,sunflower,1.5
loamy,24.12,36.55,4.6,38.23,peanuts,3.13
clay,44.65,39.28,23.01,96.31,barley,1.66
loamy,86.42,24.69,5.38,25.12,rice,2.81
loamy,32.21,-5.51,14.65,38.69,cotton,1.43
clay,93.06,35.06,19.81,83.7,wheat,1.34
clay,45.96,7.03,28.75,15.73,soybean,1.46
sandy,44.44,16.14,24.21,15.3,corn,2.59
loamy,31.28,21.01,6.63,31.56,rice,2.55
loamy,87.67,30.59,18.69,19.0,barley,2.37
clay,60.69,27.93,28.37,91.1,cotton,1.08
sandy,95.98,0.21,18.82,67.18,barley,2.21
loamy,79.59,40.83,14.35,95.82,carrot,1.36
clay,11.02,-2.51,7.33,3.89,rice,2.91
sandy,29.19,43.17,4.6,70.68,cotton,1.26
loamy,86.68,-11.98,22.11,44.87,barley,2.38
loamy,44.54,15.85,7.9,54.53,rice,2.38
clay,58.22,19.34,13.55,22.58,rice,2.73
clay,90.64,27.88,11.89,98.72,carrot,1.19
sandy,43.46,-0.07,12.98,38.03,cotton,1.13
sandy,94.73,29.05,5.6,17.14,soybean,1.39
sandy,14.58,35.95,25.02,32.02,corn,2.96
clay,82.17,19.69,14.91,6.29,wheat,1.1
loamy,81.26,33.31,17.01,88.28,wheat,1.32
clay,7.41,-5.45,6.35,10.47,rice,1.51
sandy,26.2,1.66,4.12,4.7,maize,4.65
clay,41.45,42.1,1.37,39.55,wheat,1.29
clay,78.6,24.28,28.21,40.84,cotton,1.25
sandy,11.38,-10.6,3.98,35.17,beans,4.74
loamy,58.74,39.36,17.22,82.45,cotton,1.35
sandy,27.61,2.38,1.69,33.16,beans,3.77
sandy,29.57,-13.82,3.8,9.83,beans,4.26
loamy,50.2,40.43,25.99,64.21,cotton,1.01
sandy,8.96,-9.2,4.81,0.64,peanuts,3.3
sandy,77.96,34.52,26.06,25.51,rice,2.39
sandy,14.38,35.45,4.69,53.07,rice,2.14
loamy,57.24,30.64,17.96,88.64,soybean,1.41
clay,68.2,43.69,20.6,72.68,soybean,1.05
clay,8.24,1.63,27.24,42.82,carrot,1.37
sandy,31.76,15.23,2.06,10.01,barley,2.93
loamy,79.44,16.28,20.4,72.29,cotton,1.12
sandy,5.17,-13.09,1.68,29.58,beans,3.03
loamy,20.29,4.94,15.83,51.51,rice,2.04
loamy,39.11,16.63,9.28,59.19,barley,2.26
sandy,79.27,43.95,11.1,90.32,corn,2.98
loamy,85.26,24.42,0.24,86.51,maize,3.74
clay,53.83,42.57,19.13,22.71,sunflower,2.12
clay,83.34,22.59,0.71,46.74,beans,3.77
clay,97.02,39.06,27.8,84.49,carrot,1.2
sandy,8.51,-6.22,2.34,24.35,beans,3.05
sandy,22.64,-5.45,1.93,23.64,peanuts,3.21
sandy,11.73,1.46,3.22,2.83,beans,3.61
loamy,30.85,22.72,8.33,46.02,rice,2.48
loamy,34.18,24.92,7.09,35.31,sunflower,2.76
loamy,25.0,0.91,11.04,63.36,corn,2.05
loamy,74.13,43.74,29.67,75.28,cotton,1.38
loamy,48.95,23.23,7.36,47.71,corn,1.58
clay,56.57,29.58,20.27,63.74,soybean,1.18
loamy,46.81,22.88,9.08,48.48,barley,2.57
clay,96.66,34.72,25.2,82.89,cotton,1.12
loamy,30.87,-2.73,20.08,4.59,corn,1.94
sandy,23.55,-7.52,3.14,7.74,peanuts,4.23
loamy,32.01,22.31,9.84,57.49,rice,2.32
sandy,8.91,17.36,4.89,39.19,soybean,1.49
loamy,42.97,20.73,5.91,59.78,corn,2.24
loamy,84.36,32.33,9.94,50.46,soybean,1.23
clay,51.42,31.65,19.21,99.98,wheat,1.3
sandy,25.73,5.74,4.66,10.18,peanuts,4.22
sandy,39.4,30.04,20.43,20.18,peanuts,3.63
loamy,36.78,24.4,7.96,50.68,sunflower,1.86
loamy,35.24,19.11,9.98,55.82,sunflower,1.72
loamy,92.42,36.88,24.57,63.87,soybean,1.34
clay,30.8,12.18,1.43,35.01,corn,2.79
